n;sel_swap;sel_comp;sel_time;ins_swap;ins_comp;ins_time;heap_swap;heap_comp;heap_time;quick_swap;quick_comp;quick_time;mq_swap;mq_comp;mq_time
100;297;4950;491700;2491;2484;147600;1797;1050;117300;1053;592;50500;819;617;53100
100;297;4950;138600;2838;2829;131100;1716;1024;31300;1362;644;33400;1067;662;38800
100;297;4950;135100;2542;2539;115900;1734;1024;18900;1356;713;36500;856;600;36400
100;297;4950;140400;2776;2772;126400;1734;1022;17300;1080;653;39700;691;602;36300
100;297;4950;137700;2413;2410;110800;1755;1037;22300;1110;638;30400;691;653;39600
100;297;4950;136100;2533;2528;115400;1743;1025;18600;1122;564;23400;761;613;29900
100;297;4950;137800;2349;2348;107200;1743;1034;19600;1152;602;9100;891;608;28800
100;297;4950;138000;2517;2514;113400;1767;1043;19000;1095;641;10100;742;651;29900
100;297;4950;136600;2523;2517;115500;1725;1021;18300;1098;669;9900;735;627;57400
100;297;4950;140900;2587;2586;119900;1707;1024;18300;1002;627;9300;700;603;26000
100;297;4950;136500;2902;2897;205000;1716;1024;43600;1185;611;18000;722;574;45700
100;297;4950;139500;2549;2547;28200;1785;1038;19000;987;544;9800;846;654;17200
100;297;4950;72500;2428;2423;20400;1776;1032;19000;1137;592;9100;859;619;17200
100;297;4950;45500;2534;2529;22000;1746;1031;19500;1164;644;9600;746;627;18300
100;297;4950;38000;2758;2753;41100;1734;1026;32400;1221;628;19600;858;604;32300
100;297;4950;39600;2241;2236;19000;1791;1048;20500;828;755;10000;747;693;28600
100;297;4950;39600;2717;2714;22800;1773;1035;20900;987;648;9900;761;652;10200
100;297;4950;37800;2717;2714;37200;1743;1022;33400;1137;671;17200;757;665;16100
100;297;4950;40300;2798;2791;24400;1752;1026;19200;1293;684;11000;1138;661;10300
100;297;4950;70900;2596;2587;44400;1758;1025;31100;1302;664;21000;1084;709;21700
100;297;4950;73500;2515;2513;39300;1773;1041;37700;1020;663;16500;772;655;17500
100;297;4950;68000;2298;2295;34300;1758;1029;34300;1230;612;16700;848;618;21500
100;297;4950;72800;2608;2604;40900;1740;1027;33300;1131;583;18800;781;717;18400
100;297;4950;74700;2668;2664;44100;1710;1014;34700;966;582;17300;800;635;17200
100;297;4950;50800;2505;2503;26100;1773;1032;28000;1146;653;19600;945;809;11600
100;297;4950;46900;2924;2921;24500;1722;1014;26900;1338;632;9600;948;633;13800
100;297;4950;39800;2675;2670;29000;1725;1018;18700;1314;713;10100;885;627;11800
100;297;4950;72100;2603;2598;45800;1713;1008;33700;1281;571;15100;979;667;23400
100;297;4950;52900;2480;2477;21000;1728;1022;19000;1290;677;9800;950;700;10400
100;297;4950;70000;2662;2658;30700;1734;1016;19200;1116;582;9000;931;639;24000
100;297;4950;37600;2710;2708;22700;1722;1014;17100;1212;659;9900;748;638;17200
100;297;4950;72700;2535;2533;40100;1701;1008;34700;1257;633;17800;830;588;16000
100;297;4950;70100;2524;2521;58400;1776;1036;30600;918;648;14900;890;645;16500
100;297;4950;116100;2581;2578;38500;1761;1033;32300;1095;606;16500;787;621;18200
100;297;4950;70600;2598;2597;42100;1734;1024;35700;1209;658;15800;968;710;17500
100;297;4950;121600;2633;2630;44700;1779;1042;31600;1377;824;18700;790;610;16900
100;297;4950;71400;2471;2466;40300;1797;1039;34200;1110;577;14300;788;665;18900
100;297;4950;94300;2872;2866;24000;1698;1003;16500;1014;620;8800;786;605;8500
100;297;4950;38100;2395;2390;21700;1755;1030;12800;906;816;12600;737;782;12600
100;297;4950;75700;2660;2657;22100;1764;1039;12900;1128;706;4800;777;642;7900
100;297;4950;37300;2426;2419;20300;1776;1030;13000;975;632;4700;973;694;6400
100;297;4950;73300;2232;2231;34500;1770;1026;18300;1251;647;9200;903;677;9400
100;297;4950;38400;2382;2378;19800;1758;1036;12400;1101;599;7000;891;644;10000
100;297;4950;115800;2647;2644;39400;1743;1028;23000;1092;575;4800;716;633;6600
100;297;4950;37400;2496;2491;23200;1740;1024;19800;1311;630;5100;979;675;6700
100;297;4950;76800;2556;2553;21400;1752;1025;12800;954;606;4900;882;639;6300
100;297;4950;38000;2476;2471;20600;1746;1030;12100;1191;677;4900;878;671;8200
100;297;4950;157600;2339;2338;33600;1755;1018;15300;984;568;5200;767;671;7000
100;297;4950;37500;2927;2920;24400;1743;1035;12100;1026;651;4900;798;671;6600
100;297;4950;76300;2636;2631;21800;1764;1033;11700;1140;570;5500;871;637;7600
100;297;4950;38000;2365;2363;19700;1743;1020;11900;1344;615;4800;976;640;6200
100;297;4950;115100;2448;2444;38300;1752;1025;20400;1284;664;7400;1018;696;13600
100;297;4950;59800;2573;2571;40800;1755;1030;18900;933;618;7400;861;690;11800
100;297;4950;75800;2591;2586;21700;1773;1038;13500;1287;668;5100;871;627;6500
100;297;4950;37400;2757;2754;23000;1725;1015;14300;1221;622;4900;829;656;6300
100;297;4950;76100;2501;2499;21900;1731;1018;12200;1521;713;5000;1026;710;8500
100;297;4950;55700;2713;2707;22600;1683;1001;12400;1002;560;6600;865;641;6500
100;297;4950;79500;2520;2516;21000;1770;1034;12400;1140;629;5000;917;626;7700
100;297;4950;37300;2659;2656;23700;1701;1017;12100;1050;607;5200;851;646;6300
100;297;4950;75200;2376;2376;19800;1752;1020;12100;1122;627;4800;810;628;7000
100;297;4950;37500;2582;2578;21500;1746;1036;12300;1170;673;4800;790;632;6000
100;297;4950;72700;2622;2617;22800;1722;1012;12600;1452;675;4700;1011;693;6600
100;297;4950;37400;2726;2720;22700;1746;1028;12700;1233;740;4700;788;667;10100
100;297;4950;13300;2648;2644;39700;1752;1030;18700;1014;745;7300;909;665;12500
100;297;4950;12600;2773;2769;48900;1731;1029;31200;1185;587;9400;882;661;14700
100;297;4950;13200;2526;2523;38600;1704;1008;19900;963;655;7500;800;701;11800
100;297;4950;12700;2618;2612;42200;1752;1025;19100;1260;676;7300;828;710;12200
100;297;4950;12900;2378;2373;37700;1716;1011;18500;1020;692;8900;892;651;9400
