n;sel_swap;sel_comp;sel_time;ins_swap;ins_comp;ins_time;heap_swap;heap_comp;heap_time;quick_swap;quick_comp;quick_time;mq_swap;mq_comp;mq_time
600;1797;179700;414900;91492;91487;200700;15084;9268;134300;9132;5497;48900;6832;5409;51600
600;1797;179700;418300;86929;86923;167400;15063;9235;127100;11874;6433;48000;8785;5610;52300
700;2097;244650;563600;120569;120559;278300;18087;11125;162200;12399;7325;66300;9615;6698;60900
700;2097;244650;560500;126293;126286;280200;17979;11102;167700;11613;6806;56200;9604;7052;56800
700;2097;244650;568400;124833;124829;277400;17991;11111;160200;11778;7077;79300;9420;6796;64900
700;2097;244650;566800;125850;125847;267800;18102;11140;188100;12036;7476;53300;10231;6905;56800
700;2097;244650;573600;122872;122866;242700;17994;11072;291400;13485;7366;53100;11452;7274;61500
700;2097;244650;551900;121910;121897;239800;18114;11127;106600;10716;6677;47800;9451;7022;55200
700;2097;244650;521500;122820;122814;179200;18054;11128;106600;12582;7038;39100;9830;6649;40200
700;2097;244650;556500;115599;115595;178700;18063;11138;106400;13194;7852;39800;10071;6996;40200
700;2097;244650;526100;124737;124728;175600;17991;11068;104700;11964;6605;39100;9571;6498;41500
700;2097;244650;520500;117412;117406;165000;18084;11110;105200;12933;7483;38800;8604;7029;38500
800;2397;319600;692400;155756;155750;217100;21150;12996;121000;13335;7968;44800;10028;7997;50700
800;2397;319600;764800;165262;165256;348600;21048;12996;190200;14265;8476;62100;9849;7703;70500
800;2397;319600;731700;161651;161646;319500;21123;13019;188000;17856;8912;64200;12575;8090;73400
800;2397;319600;784700;158263;158257;337100;21141;13043;233600;14691;8254;62400;10511;7608;66300
800;2397;319600;741200;161629;161620;356400;21051;13003;200200;15582;8614;64900;11250;7775;69900
800;2397;319600;685600;161441;161435;224800;21069;12989;126400;16056;8807;44400;10327;7923;46800
800;2397;319600;691100;157275;157267;218700;21051;12987;122700;12717;7742;44000;10536;7541;62600
800;2397;319600;695100;158235;158228;220600;21129;13019;121200;13950;7980;44900;11252;8001;47100
800;2397;319600;687800;156491;156482;220300;21057;12964;122000;14220;8789;46400;10695;7536;46100
800;2397;319600;680000;150670;150668;210600;21168;13031;123900;14469;7896;46200;10622;7559;46400
900;2697;404550;863800;208278;208272;289200;24120;14890;140000;18855;10692;53800;12883;9027;52300
900;2697;404550;861100;205846;205838;285300;24084;14900;134200;15858;9636;51400;12027;8880;54700
900;2697;404550;870100;204616;204608;283500;24168;14920;134900;13518;9799;49000;12943;9175;51900
900;2697;404550;859900;206600;206596;287700;24030;14875;136100;14100;9486;49300;12900;9821;56800
900;2697;404550;857400;206000;205995;286700;24168;14914;160800;18864;10293;69500;11880;8967;77000
900;2697;404550;867300;208542;208535;289100;24216;14943;160100;17385;10880;52100;12205;9358;51800
900;2697;404550;870300;206725;206721;287500;24147;14916;121100;17154;9811;49800;13187;9250;55200
900;2697;404550;920800;201090;201081;278300;24156;14918;104700;22389;11143;52100;13778;9228;53100
900;2697;404550;903200;204991;204987;488400;24093;14887;156900;16026;10228;74200;11352;9061;79200
900;2697;404550;919700;206000;205992;460800;24072;14877;151500;16899;9433;71200;11773;8901;83200
1000;2997;499500;1139600;244457;244454;475200;27303;16841;163900;16626;10798;75100;13622;10098;82100
1000;2997;499500;1147000;242370;242363;553000;27318;16876;169800;17115;10120;80900;12793;10625;96300
1000;2997;499500;1162900;252326;252319;553800;27228;16875;172800;18303;10652;77100;13733;10298;83300
1000;2997;499500;1802600;253981;253975;539100;27135;16794;175400;18375;10318;79200;13388;10026;90600
1000;2997;499500;1107000;252922;252915;370000;27198;16817;117700;18120;10794;61100;15191;10191;79300
1000;2997;499500;1065500;251530;251524;439300;27252;16849;193700;21357;11911;70100;14894;10904;65700
1000;2997;499500;1063800;245405;245401;347600;27231;16840;120700;17421;11085;57200;13958;10251;56400
1000;2997;499500;1067300;248991;248983;344500;27171;16808;117600;19569;10882;56100;15128;10573;57100
1000;2997;499500;1060700;252935;252926;348300;27315;16884;118100;18588;11950;55400;14437;10034;59100
1000;2997;499500;1123800;251301;251295;353700;27315;16857;118800;19656;11428;64400;13304;10147;57800
1100;3297;604450;1300200;303329;303319;637600;30441;18817;197800;19599;12025;91200;16034;11229;119100
1100;3297;604450;1285700;298368;298363;421600;30498;18877;136300;18399;11820;62700;16653;11549;79800
