n;sel_swap;sel_comp;sel_time;ins_swap;ins_comp;ins_time;heap_swap;heap_comp;heap_time;quick_swap;quick_comp;quick_time;mq_swap;mq_comp;mq_time
100;297;4950;549300;2461;2457;234900;1737;1015;183400;861;686;53500;805;706;62400
100;297;4950;138000;2549;2544;116500;1737;1025;32200;1257;653;32200;846;585;37500
100;297;4950;136800;2523;2516;114200;1767;1034;19200;951;631;31100;886;635;38900
100;297;4950;162800;2482;2474;123700;1782;1040;18400;1080;731;43100;941;677;45400
100;297;4950;139600;2327;2323;105300;1737;1023;18800;1029;624;27000;911;658;30400
100;297;4950;135900;2713;2707;137200;1731;1020;39800;984;588;9100;1032;743;33900
100;297;4950;145100;2739;2735;134800;1737;1030;22100;1029;569;8700;713;602;27700
100;297;4950;136600;2481;2476;113500;1755;1029;19000;1416;721;10100;860;666;30700
100;297;4950;236400;2647;2644;201100;1743;1019;33700;1089;664;17700;757;655;59100
100;297;4950;222900;2657;2655;151600;1731;1031;25500;1008;694;11900;919;698;46600
200;597;19900;704600;9179;9176;88100;4149;2481;56900;2544;1419;23200;2103;1555;49500
200;597;19900;186400;10548;10545;95300;4074;2442;40900;3276;1661;23100;2052;1485;38500
200;597;19900;151900;10434;10431;85500;4068;2439;39300;2733;1651;22100;1896;1464;20800
200;597;19900;167000;10304;10300;86000;4122;2468;50000;2322;1675;22300;2143;1511;22300
200;597;19900;147600;9765;9762;288600;4011;2423;72500;2667;1592;40800;2129;1577;42200
200;597;19900;259600;10468;10465;156900;4068;2461;76000;2145;1406;34200;2021;1509;38500
200;597;19900;273600;9909;9902;173400;4107;2465;73400;2766;1479;36900;2226;1516;39400
200;597;19900;272600;10065;10062;152300;4077;2460;73300;3192;1482;44400;2479;1552;41000
200;597;19900;224500;11734;11728;196800;4008;2433;82000;2340;1427;40300;2339;1641;51700
200;597;19900;129900;10014;10012;82800;4080;2464;40000;2247;1387;20200;1861;1497;22400
300;897;44850;191800;23128;23124;198200;6606;4004;63300;4767;2497;35900;4130;2726;35800
300;897;44850;182600;23094;23089;188300;6618;4005;63700;4047;2576;34000;3060;2609;33600
300;897;44850;184500;23601;23594;193100;6609;4001;64100;3945;2338;25600;3740;2381;26200
300;897;44850;184100;22913;22909;323900;6687;4047;116700;4917;2890;17600;3801;2688;21100
300;897;44850;273600;21702;21697;211000;6684;4042;64100;3744;2627;16200;3468;2537;21700
