n;sel_swap;sel_comp;sel_time;ins_swap;ins_comp;ins_time;heap_swap;heap_comp;heap_time;quick_swap;quick_comp;quick_time
8500;8499;36120750;76;18184015;18192503;30;103348;195712;1;70514;124736;1
8600;8599;36975700;78;18464462;18473054;31;105009;198745;1;71223;122470;1
8700;8699;37840650;80;19032838;19041528;31;106201;201126;2;72128;138170;0
8800;8799;38715600;81;19404044;19412837;32;107611;203757;1;72956;137039;1
8900;8899;39600550;84;19983293;19992184;32;108868;206224;2;78405;145181;0
9000;8999;40495500;86;20249682;20258667;34;110293;208928;1;83160;141125;1
9100;9099;41400450;87;20664073;20673169;34;111760;211614;1;76137;138587;1
9200;9199;42315400;90;20997236;21006427;34;113079;214149;2;77919;144216;1
9300;9299;43240350;91;21632700;21641989;36;114465;216834;1;76618;134658;1
9400;9399;44175300;95;22016817;22026204;37;115900;219533;1;82902;145688;1
9500;9499;45120250;96;22689920;22699413;37;117251;222081;1;76484;144205;1
9600;9599;46075200;97;22950565;22960156;37;118612;224705;2;75891;139457;1
9700;9699;47040150;99;24026061;24035748;39;119724;227075;1;86856;144516;1
9800;9799;48015100;102;23882625;23892419;39;121478;230140;1;81633;146235;1
9900;9899;49000050;103;24440488;24450379;40;122891;232746;2;79979;153114;1
10000;9999;49995000;106;24992932;25002924;41;124211;235317;1;80011;147109;1
