n;sel_swap;sel_comp;sel_time;ins_swap;ins_comp;ins_time;heap_swap;heap_comp;heap_time;quick_swap;quick_comp;quick_time
900;899;404550;845700;207866;208759;332500;8039;14931;104700;7673;11367;56200
1000;999;499500;1041100;246821;247813;401600;9050;16784;122800;6573;11018;60400
1000;999;499500;1088800;247211;248207;406400;9076;16874;131500;5701;10891;75900
1000;999;499500;1047400;245673;246664;399800;9126;16899;131300;5567;11694;69900
1000;999;499500;1095600;245203;246200;408000;9076;16840;130100;6111;11499;71000
1000;999;499500;1058300;245319;246312;554200;9098;16854;128900;5866;10163;78600
1000;999;499500;1052000;254063;255059;416100;9092;16894;119200;5734;12667;65600
1000;999;499500;1077600;251399;252388;402900;9044;16820;119100;6233;10548;61000
1000;999;499500;1101200;239151;240144;397800;9100;16858;116300;6202;10264;60200
1000;999;499500;1096800;252222;253215;464300;9055;16835;116700;6422;10839;59800
1000;999;499500;1054500;252493;253486;404900;9064;16836;116100;5412;10294;59700
1100;1099;604450;1267400;304612;305706;498200;10145;18833;130700;7665;13166;83600
1100;1099;604450;1262700;309189;310286;494000;10100;18814;142400;6920;11899;67300
1100;1099;604450;1264500;302984;304075;484000;10185;18899;129400;6122;12153;64500
1100;1099;604450;1298000;299007;300097;554700;10192;18897;148800;6317;11062;76600
1100;1099;604450;1266800;299337;300431;477600;10154;18880;129900;5922;12875;67100
1100;1099;604450;1271200;299892;300985;477700;10189;18894;130400;7266;13084;65500
1100;1099;604450;1268100;309678;310768;500100;10163;18884;162900;7663;12165;73700
1100;1099;604450;1263400;302608;303704;483200;10123;18825;129900;8227;12904;67800
1100;1099;604450;1315400;307103;308197;735000;10148;18837;179400;6060;12545;78900
1100;1099;604450;1342800;312651;313741;512600;10126;18848;149300;6553;12325;67500
1200;1199;719400;1514200;361603;362794;574400;11244;20885;142100;7099;13312;72900
1200;1199;719400;1513400;359387;360579;588400;11228;20884;166900;6956;13231;84500
1200;1199;719400;1521000;360081;361272;594000;11220;20877;157400;8683;14425;79600
1200;1199;719400;1521200;355701;356896;564600;11250;20901;143400;6763;12544;76600
1200;1199;719400;1503700;349588;350783;568200;11239;20867;144000;7240;12666;72000
1200;1199;719400;1594100;373177;374362;683100;11218;20859;191700;7217;13946;105400
1200;1199;719400;1513800;367852;369046;622700;11247;20881;182100;7472;13744;84800
1200;1199;719400;1579100;353312;354502;668700;11253;20915;204800;7441;12992;94400
1200;1199;719400;1532300;345770;346964;574900;11267;20970;197700;7599;13364;103200
1200;1199;719400;1516800;364561;365749;579200;11252;20905;158500;6898;13310;84500
1300;1299;844350;1820700;419612;420902;667300;12341;22969;315800;7256;14122;111500
1300;1299;844350;1787200;425346;426639;690600;12341;22973;167000;8934;14905;81400
1300;1299;844350;1793500;429266;430561;684500;12311;22957;152100;9212;15285;105500
1300;1299;844350;1994900;426317;427608;1106500;12310;22965;286500;9022;15590;190900
1300;1299;844350;1851000;434681;435972;754500;12294;22922;151300;8534;14627;80000
1300;1299;844350;1782000;431555;432846;698800;12320;22945;151600;8586;15203;79800
1300;1299;844350;1887000;422945;424237;729600;12346;22966;155900;7853;15062;86200
1300;1299;844350;1846400;408189;409480;1095500;12360;22980;210800;8090;13957;113400
1300;1299;844350;1855000;422500;423792;703300;12319;22957;167200;7772;14018;93400
1300;1299;844350;1847800;421720;423011;986000;12331;22948;208200;7645;14673;103700
1400;1399;979300;2199300;490157;491550;878700;13476;25055;235900;7813;16767;117000
1400;1399;979300;2085100;480511;481900;759400;13428;25027;167300;9566;15996;89100
1400;1399;979300;2080500;493827;495220;857500;13442;25018;163700;8184;15725;94400
1400;1399;979300;2076000;484473;485869;769700;13484;25059;165200;9119;18328;86600
1400;1399;979300;2064800;487737;489132;783300;13420;25049;179400;8504;16416;105600
1400;1399;979300;2073100;496478;497869;820700;13425;25042;164800;7616;14979;85400
1400;1399;979300;2142000;483546;484941;783500;13439;25043;165600;9250;16932;89500
1400;1399;979300;2102800;496245;497640;806200;13436;25004;165300;9979;18464;90500
1400;1399;979300;2063400;488953;490341;778100;13432;25018;176100;8714;16152;101100
1400;1399;979300;2124900;489038;490431;903500;13399;24974;244500;8889;15649;120500
1500;1499;1124250;2514100;549015;550503;929500;14598;27201;212300;9437;17540;113200
1500;1499;1124250;2390200;566939;568434;932500;14490;27090;178700;10350;17688;97200
1500;1499;1124250;2438600;559741;561236;905100;14546;27134;178200;9549;16956;95000
1500;1499;1124250;2359900;563326;564816;894200;14593;27155;177200;10895;18954;93400
1500;1499;1124250;2356200;557849;559339;896100;14538;27091;177500;10208;17554;94500
1500;1499;1124250;2445300;563173;564664;926100;14556;27115;193100;8818;18987;106300
1500;1499;1124250;2368100;558079;559574;881600;14536;27131;177500;10541;18058;93200
1500;1499;1124250;2361100;566748;568238;896500;14523;27080;180300;8408;19308;91700
1500;1499;1124250;2365700;562789;564286;915700;14552;27152;200600;8587;16824;91700
1500;1499;1124250;2357200;566242;567730;896400;14529;27101;176100;10345;18746;92400
1600;1599;1279200;2698100;672032;673628;1060500;15641;29176;190200;9708;18105;98200
1600;1599;1279200;2788200;627388;628980;1487900;15663;29245;270800;12146;20645;148100
1600;1599;1279200;2743500;634919;636514;1164700;15666;29242;208700;11536;18512;115400
1600;1599;1279200;2731400;632153;633747;1000800;15654;29182;190400;10625;18610;101800
1600;1599;1279200;2766400;624279;625869;1018600;15702;29256;205800;9481;18030;110800
1600;1599;1279200;2686800;639627;641215;1029400;15616;29135;203300;9750;18509;97900
1600;1599;1279200;2728800;655791;657381;1063800;15650;29212;216100;11009;19283;152300
1600;1599;1279200;2725500;628436;630028;1016900;15623;29197;203400;9385;21038;111300
1600;1599;1279200;2728400;645428;647019;2612900;15597;29145;206700;9729;17719;125000
1600;1599;1279200;2951200;648939;650533;1592100;15598;29134;235200;10677;18050;130600
1700;1699;1444150;3208600;741455;743149;1811800;16744;31258;297700;10160;18577;151300
1700;1699;1444150;3485100;707471;709159;1270400;16772;31297;204500;11376;20039;114700
1700;1699;1444150;3029500;724433;726124;1154900;16756;31280;220600;11653;20600;109400
1700;1699;1444150;3111100;740195;741883;1213700;16808;31373;220200;11823;20013;182600
1700;1699;1444150;3212400;714043;715739;1930200;16802;31324;280000;11856;22455;154800
1700;1699;1444150;3163900;709481;711174;1139600;16778;31369;218100;11452;21201;118100
1700;1699;1444150;3291700;725661;727354;1288500;16780;31333;204500;12144;21354;124700
1700;1699;1444150;3037300;720186;721878;1154300;16797;31368;215200;12100;20505;121600
1700;1699;1444150;3097400;702064;703759;1242100;16789;31351;219200;11732;20361;121000
1700;1699;1444150;3098000;728965;730657;1174600;16786;31330;222300;10125;20896;119000
1800;1799;1619100;3419000;811461;813252;1966000;17898;33442;272100;11240;20489;141500
1800;1799;1619100;3472800;793235;795028;1278200;17908;33442;239400;11131;20972;127100
1800;1799;1619100;3399500;816314;818106;1392900;17893;33432;315900;11970;23412;164100
1800;1799;1619100;3548300;830172;831962;2140400;17857;33392;301900;11802;22704;161000
1800;1799;1619100;3511200;817824;819614;2488100;17929;33462;294800;11468;20123;152400
1800;1799;1619100;3983200;785100;786893;1259000;17951;33471;231800;11753;22006;124800
1800;1799;1619100;3735500;805971;807757;2158000;17882;33459;302000;13595;25665;157100
1800;1799;1619100;3692300;792584;794376;1558800;17957;33492;230800;12145;21248;126100
1800;1799;1619100;3792800;826971;828764;2274500;17900;33451;299900;10571;19493;160000
1800;1799;1619100;3447600;842967;844760;1352800;17842;33408;232500;14034;22866;129300
1900;1899;1804050;3821400;927245;929132;1848500;19028;35601;324300;13105;22890;159000
1900;1899;1804050;3971900;920680;922572;1495300;19001;35572;249500;12470;23095;131900
1900;1899;1804050;3810100;907986;909880;1447000;19003;35545;245300;12711;22603;137700
1900;1899;1804050;3830900;884392;886282;1403400;19065;35608;231800;13468;23408;150400
1900;1899;1804050;3777900;911431;913324;1479400;19032;35592;246900;13466;21892;133600
1900;1899;1804050;3825600;904703;906596;1467100;19010;35557;245100;12807;23397;121900
1900;1899;1804050;3949400;932159;934051;2688800;19000;35517;342500;13126;23533;185400
1900;1899;1804050;3984700;874148;876036;2485900;18977;35493;262300;11935;24643;133200
1900;1899;1804050;4047100;910349;912245;1854400;19008;35555;246700;11792;23069;131700
1900;1899;1804050;4043600;897727;899619;1630500;19102;35626;316400;11559;22019;153500
2000;1999;1999000;4225600;987927;989921;1567900;20196;37709;245200;15168;24682;133200
2000;1999;1999000;4270700;988352;990346;1719700;20113;37696;249900;13303;24033;131000
2000;1999;1999000;4228600;1001797;1003786;1693800;20120;37608;269900;12570;24213;126000
2000;1999;1999000;4228700;1003836;1005825;1615300;20191;37710;243800;14486;24942;128100
2000;1999;1999000;4231500;1004475;1006464;1827700;20162;37706;244200;13458;25956;130600
2000;1999;1999000;4195700;976208;978200;1576000;20189;37774;264500;15936;27034;142300
2000;1999;1999000;4184800;1000897;1002889;1581700;20146;37679;245400;12220;23945;133300
2000;1999;1999000;4224900;1001066;1003059;1603200;20135;37648;245100;13763;24936;133500
2000;1999;1999000;4200600;1001226;1003220;1579800;20111;37654;245600;13797;25899;129400
2000;1999;1999000;4208100;968232;970227;1522600;20169;37686;243900;13454;24074;129500
2100;2099;2203950;4641700;1108664;1110759;1746700;21363;39934;258900;13446;25485;138900
2100;2099;2203950;4629600;1095487;1097580;1727300;21302;39900;272000;14114;24891;147700
2100;2099;2203950;4658700;1112053;1114144;1749900;21324;39865;260600;13662;25438;146600
2100;2099;2203950;4636500;1089136;1091223;1713200;21333;39850;272100;15866;27875;136600
2100;2099;2203950;4622300;1100846;1102936;1736400;21293;39871;258700;15088;29312;137000
2100;2099;2203950;4681900;1113774;1115870;1766100;21311;39865;258400;13789;24454;133700
2100;2099;2203950;4725900;1098840;1100934;1746800;21353;39883;258200;13157;24621;135300
2100;2099;2203950;4673500;1087750;1089845;1736100;21305;39833;262100;15216;27057;136100
2100;2099;2203950;4678600;1103915;1106009;1769500;21238;39768;271000;13647;26149;134300
2100;2099;2203950;4614900;1098069;1100163;1749500;21356;39971;258400;14670;25554;131700
2200;2199;2418900;5114200;1209998;1212191;1898200;22541;42165;273400;13076;26624;140600
2200;2199;2418900;5076200;1184522;1186712;1884400;22491;42123;272000;14837;27206;141200
2200;2199;2418900;5067900;1222328;1224520;1929100;22469;42113;271500;17228;30467;144800
2200;2199;2418900;5056900;1190442;1192638;1889500;22493;42116;273600;18784;30224;145800
2200;2199;2418900;5068200;1190788;1192979;1868900;22531;42141;273200;13642;27513;138700
2200;2199;2418900;5113600;1185345;1187535;1860600;22560;42171;273700;15620;29067;138400
2200;2199;2418900;5072400;1224141;1226328;1920200;22488;42104;271900;13441;28279;143600
2200;2199;2418900;5082400;1159042;1161237;1842000;22533;42112;274600;15272;27107;139600
2200;2199;2418900;5076800;1234024;1236216;1936500;22445;42035;288100;18431;28543;144200
2200;2199;2418900;5085900;1215531;1217723;1906200;22516;42134;272900;15231;27763;144200
2300;2299;2643850;5534800;1314150;1316444;2073400;23645;44321;284400;14322;27393;145400
2300;2299;2643850;5526900;1341544;1343836;2102600;23669;44387;286300;15108;27685;144000
2300;2299;2643850;5528800;1311449;1313741;2056500;23634;44286;283800;14003;29029;143400
2300;2299;2643850;5565500;1309477;1311770;2053200;23676;44317;283400;17100;29935;148300
2300;2299;2643850;5525900;1335432;1337723;2094100;23655;44305;283800;14752;26879;144900
2300;2299;2643850;5543200;1317268;1319556;2065500;23695;44320;285000;16488;27978;147200
2300;2299;2643850;5539000;1325798;1328092;2079000;23587;44231;284500;16878;30458;143700
2300;2299;2643850;5529300;1314034;1316323;2081500;23673;44305;284700;19647;31522;169800
2300;2299;2643850;5566100;1350956;1353246;2130600;23667;44335;287200;14770;29235;148800
2300;2299;2643850;5553700;1363259;1365549;2138100;23640;44265;285000;14150;28280;143900
2400;2399;2878800;6063900;1465641;1468033;2296400;24856;46594;299700;14574;28358;154900
2400;2399;2878800;6042300;1418185;1420575;2241300;24850;46551;298900;16561;30293;151800
2400;2399;2878800;6045800;1440191;1442586;2271100;24860;46565;299900;15939;29526;154200
2400;2399;2878800;6043900;1424032;1426422;2235800;24863;46605;300700;16232;31876;155600
2400;2399;2878800;6085200;1419406;1421797;2253700;24859;46553;300900;15909;29575;157000
2400;2399;2878800;6048300;1445033;1447422;2281400;24854;46598;309000;16044;31850;173200
2400;2399;2878800;6018900;1475807;1478201;2315300;24846;46583;299500;17065;29609;157900
2400;2399;2878800;6069000;1457396;1459781;2283700;24893;46606;301100;16977;29284;161100
2400;2399;2878800;6022000;1446985;1449378;2269700;24840;46529;297300;17760;32970;157700
2400;2399;2878800;6021700;1431656;1434046;2243900;24887;46607;299500;15709;28945;154800
2500;2499;3123750;6536600;1550511;1553007;2429500;26084;48829;313000;17450;32291;160100
2500;2499;3123750;6534200;1574150;1576640;2464700;26063;48872;314900;16338;32475;160500
2500;2499;3123750;6594400;1543341;1545834;2429400;26104;48892;316200;18982;33805;162800
2500;2499;3123750;6641900;1592781;1595275;2495000;26044;48850;312200;17672;32437;162600
2500;2499;3123750;6547900;1568442;1570934;2472900;26035;48822;312900;15676;30129;160100
2500;2499;3123750;6571100;1553882;1556374;2466700;26083;48893;313000;17230;33058;162800
2500;2499;3123750;6535200;1541272;1543768;2443000;26101;48844;313400;17065;30911;163000
2500;2499;3123750;6573300;1572444;1574936;2484800;26097;48898;319000;16288;30941;160200
2500;2499;3123750;6576300;1547950;1550439;2458100;26113;48898;318200;17828;31543;161800
2500;2499;3123750;6545200;1591160;1593649;2519200;26057;48856;314500;17945;31225;171600
2600;2599;3378700;7078200;1686619;1689209;2662700;27296;51163;328200;16508;32448;168800
2600;2599;3378700;7091400;1734617;1737210;2734800;27218;51088;327900;18609;35789;168700
2600;2599;3378700;7102300;1711900;1714493;2697400;27237;51114;325600;17949;36209;168500
2600;2599;3378700;7067800;1682791;1685382;2665000;27260;51089;330400;18018;33248;172300
2600;2599;3378700;7080300;1701759;1704347;2669500;27238;51152;327100;20031;32625;172900
2600;2599;3378700;7081100;1672998;1675588;2635900;27273;51146;428100;15187;34364;178400
2600;2599;3378700;7095800;1694821;1697416;2653500;27224;51099;328900;18287;32328;182300
2600;2599;3378700;7077200;1686390;1688982;2640700;27211;51042;326100;18188;36635;168900
2600;2599;3378700;7113300;1722643;1725237;2748900;27278;51162;328000;17886;31863;169400
2600;2599;3378700;7065400;1668439;1671036;2848700;27234;51052;326900;17006;32122;168500
2700;2699;3643650;7619900;1858873;1861563;2909000;28374;53274;340100;20284;35958;173000
2700;2699;3643650;7656400;1879183;1881870;2941200;28400;53362;340300;19216;34188;173000
2700;2699;3643650;7678200;1819481;1822170;2847900;28374;53253;341300;19321;35574;171000
2700;2699;3643650;7689900;1803858;1806545;2837600;28465;53399;340400;17065;34586;173700
2700;2699;3643650;7633400;1817025;1819720;3008500;28506;53456;352700;19058;33481;181200
2700;2699;3643650;7665500;1856860;1859549;2927700;28477;53398;347200;19341;33279;175900
2700;2699;3643650;7674900;1807326;1810015;2832800;28481;53455;340300;21679;35269;182600
2700;2699;3643650;7700800;1807669;1810361;2830100;28536;53386;340900;23107;37468;179900
2700;2699;3643650;7701900;1793716;1796403;2809600;28469;53411;341600;18373;33414;172400
2700;2699;3643650;7666100;1842893;1845589;2885500;28426;53372;340500;18833;34275;175400
2800;2799;3918600;8187100;1986576;1989363;3111600;29579;55567;354800;20319;39730;182600
2800;2799;3918600;8200300;1989776;1992568;3118300;29683;55648;356800;19717;38831;178900
2800;2799;3918600;8196000;1977061;1979857;3094900;29622;55626;357000;19021;37677;177800
2800;2799;3918600;8180400;1963381;1966172;3082800;29642;55684;354700;18859;36104;175400
2800;2799;3918600;8172900;1936355;1939146;3029600;29716;55744;358600;18862;35184;182600
2800;2799;3918600;8184300;1968975;1971764;3138300;29652;55602;375400;20800;36787;198400
2800;2799;3918600;8270300;1962850;1965641;3099300;29679;55682;357400;17943;35240;176000
2800;2799;3918600;8241600;1979258;1982045;3102300;29651;55684;355200;18978;37088;183000
2800;2799;3918600;8265900;1965493;1968286;3110700;29620;55603;356700;22667;38154;185200
2800;2799;3918600;8266200;1995607;1998396;3173000;29624;55654;356600;18153;37365;178800
2900;2899;4203550;8818300;2052453;2055347;3250100;30858;57895;379500;18477;38466;193300
2900;2899;4203550;8798900;2122846;2125738;3403600;30809;57863;368300;20430;38062;189400
2900;2899;4203550;8814800;2076071;2078963;3249900;30880;57956;369200;20141;37350;186700
2900;2899;4203550;8797500;2137238;2140133;3354200;30829;57922;370100;18647;37550;185300
2900;2899;4203550;8797500;2097220;2100112;3281200;30905;58057;370400;17160;36297;182700
2900;2899;4203550;8803200;2123055;2125946;3332300;30848;57935;370300;19170;37938;183800
2900;2899;4203550;8797000;2103332;2106226;3289000;30869;58004;369100;21039;38693;187100
2900;2899;4203550;8819700;2112303;2115195;3314400;30832;57924;369000;20401;36185;184800
2900;2899;4203550;8948700;2139141;2142032;3443000;30880;57937;368700;20446;39133;185700
2900;2899;4203550;8889500;2090324;2093214;3273000;30877;58006;369700;19374;40281;188200
3000;2999;4498500;9473900;2238000;2240992;3512300;32107;60222;386100;20811;40526;190100
3000;2999;4498500;9473900;2236085;2239076;3500400;32040;60194;385200;22643;38354;201900
3000;2999;4498500;9480400;2272135;2275124;3551600;32018;60159;384600;23327;43519;198600
3000;2999;4498500;9480400;2252946;2255942;3523500;32095;60267;385500;30753;45681;204800
3000;2999;4498500;9456800;2281915;2284903;3568700;32104;60266;386900;26828;42253;194900
3000;2999;4498500;9467900;2235539;2238530;3504800;32108;60277;387100;20381;37838;192600
3000;2999;4498500;9434500;2317691;2320685;3623300;32046;60209;402400;22828;37658;194000
3000;2999;4498500;9527400;2248601;2251595;3518300;32094;60230;383100;19833;38218;194800
3000;2999;4498500;9452100;2320210;2323205;3632500;32021;60174;383800;21490;38568;195200
3000;2999;4498500;9416700;2268150;2271142;3548900;32073;60186;384100;19868;37495;193400
3100;3099;4803450;10066500;2398798;2401891;3749100;33267;62488;398600;20053;37766;199900
3100;3099;4803450;10138300;2384894;2387982;3728000;33293;62527;399000;20161;45202;199000
3100;3099;4803450;10170100;2386623;2389719;3745000;33294;62585;401100;26530;41729;203300
3100;3099;4803450;10111800;2392670;2395761;3742700;33235;62529;397700;22858;39691;202200
3100;3099;4803450;10133500;2413547;2416636;3791800;33270;62488;398600;20086;40129;201100
3100;3099;4803450;10140000;2405017;2408107;3759800;33312;62539;398300;21601;42783;201300
3100;3099;4803450;10119300;2386855;2389945;3731600;33236;62489;405600;22715;41000;203700
3100;3099;4803450;10121200;2410864;2413958;3768900;33311;62574;398600;22079;39078;199000
3100;3099;4803450;10095500;2383650;2386740;3726500;33261;62549;398100;25516;44593;205200
3100;3099;4803450;10080900;2385622;2388715;3733000;33335;62573;417900;23559;42737;205600
3200;3199;5118400;11030200;2549492;2552688;4009700;34433;64748;412700;22052;42912;209400
3200;3199;5118400;10747800;2554381;2557573;4006900;34514;64898;414600;25022;45779;212200
3200;3199;5118400;10746300;2568085;2571275;4025600;34530;64853;412800;22529;42546;208900
3200;3199;5118400;10983300;2595356;2598544;4195400;34545;64911;429400;21668;39287;210300
3200;3199;5118400;10812500;2574516;2577709;4040600;34573;64924;412400;22609;40187;209000
3200;3199;5118400;10798700;2539309;2542500;3996200;34466;64802;415100;24029;41079;207900
3200;3199;5118400;10774000;2607984;2611178;4085300;34465;64750;411800;26669;42833;206100
3200;3199;5118400;10811400;2577063;2580257;4037700;34534;64877;412400;26353;47987;209700
3200;3199;5118400;10770300;2551259;2554450;4008800;34518;64861;420700;22673;41682;210000
3200;3199;5118400;10735600;2515557;2518750;3938600;34566;64969;415200;20737;41325;205400
3300;3299;5443350;11420900;2769366;2772658;4332900;35735;67200;432000;23452;42377;214900
3300;3299;5443350;11417400;2723689;2726981;4261100;35694;67111;428200;24550;44363;238000
3300;3299;5443350;11393500;2741754;2745043;4289600;35815;67206;430900;22773;40992;218100
3300;3299;5443350;11413300;2732051;2735344;4324100;35736;67152;424000;23949;43747;219800
3300;3299;5443350;11458600;2715264;2718553;4253600;35719;67123;431100;22047;40491;213800
3300;3299;5443350;11454600;2771414;2774706;4429800;35677;67147;432200;24505;43997;214300
3300;3299;5443350;11506100;2699156;2702446;4269100;35649;67065;426900;25953;45519;226100
3300;3299;5443350;11447500;2728264;2731558;4273300;35743;67192;425900;25441;43108;223300
3300;3299;5443350;11492400;2752377;2755666;4337800;35688;67111;430100;23796;42525;222000
3300;3299;5443350;11597900;2714626;2717922;4243900;35755;67248;427800;20185;42021;214900
3400;3399;5778300;12154500;2890701;2894098;4518200;36940;69395;439500;28410;47863;231300
3400;3399;5778300;12099900;2892635;2896028;4516900;36964;69460;441400;23869;44475;221800
3400;3399;5778300;12112700;2940599;2943989;4592400;36854;69363;439700;23838;45529;224600
3400;3399;5778300;12150400;2841118;2844511;4439600;36963;69428;439400;24425;44175;221100
3400;3399;5778300;12204400;2849821;2853208;4453100;36964;69490;443800;29393;46693;232000
3400;3399;5778300;12336600;2881630;2885021;4586000;36933;69478;443100;24880;48296;226900
3400;3399;5778300;12175200;2925941;2929327;4600000;36912;69447;445200;23023;46686;223800
