n;sel_swap;sel_comp;sel_time;ins_swap;ins_comp;ins_time;heap_swap;heap_comp;heap_time;quick_swap;quick_comp;quick_time
100;99;4950;603500;2576;2672;174700;575;1019;163100;349;662;87600
100;99;4950;267600;2700;2792;226300;579;1020;67900;388;595;60100
100;99;4950;261300;2353;2448;142200;596;1053;44600;336;692;79300
100;99;4950;178500;2394;2490;147600;585;1024;40900;499;720;82300
100;99;4950;186000;2279;2376;115000;594;1032;42400;361;611;52300
100;99;4950;173000;2433;2528;135200;574;1010;40800;334;590;54200
100;99;4950;172500;2261;2355;135100;598;1035;41000;275;577;24500
100;99;4950;296300;2744;2839;232900;563;1008;46000;355;628;22900
100;99;4950;258000;2327;2424;192800;576;1014;61300;453;616;20600
100;99;4950;246900;2509;2607;197100;580;1017;44500;373;678;24900
200;199;19900;825900;9865;10058;733200;1372;2452;128300;854;1784;48700
200;199;19900;244600;10036;10232;498900;1353;2458;73500;851;1504;41600
200;199;19900;253000;9495;9691;461200;1364;2464;70800;930;1546;43500
200;199;19900;231900;10268;10462;540600;1345;2442;71100;956;1444;42000
200;199;19900;259000;9697;9892;207300;1370;2462;85500;880;1682;45100
200;199;19900;414200;9322;9518;202700;1351;2431;104200;708;1683;52600
200;199;19900;445100;9527;9722;252600;1366;2446;101500;971;1439;51700
200;199;19900;439300;10817;11006;284300;1370;2472;170400;697;1436;50300
200;199;19900;260600;10476;10668;249700;1345;2437;116300;883;1473;61400
200;199;19900;276600;10473;10670;268700;1344;2445;93400;904;1759;51900
300;299;44850;331900;21653;21948;554800;2228;4031;153400;1262;2786;77100
300;299;44850;111100;23474;23770;527800;2215;4028;116100;1481;2485;75500
300;299;44850;99400;20597;20888;300700;2236;4037;143000;1335;2317;56700
300;299;44850;109700;22725;23022;347800;2220;4049;103200;1557;2435;59200
300;299;44850;105000;23390;23678;501200;2187;4006;102100;1812;3121;71900
300;299;44850;103000;22183;22472;579300;2216;4033;157800;1413;2685;83200
300;299;44850;101900;23111;23407;611200;2200;4029;73100;1300;2329;75600
300;299;44850;106500;20830;21124;547500;2229;4024;62100;1570;2661;85600
300;299;44850;123000;22498;22792;286200;2211;4024;65800;1374;2382;53400
300;299;44850;104900;21667;21960;227300;2226;4039;55300;1414;2382;22300
400;399;79800;173000;38752;39139;266900;3127;5712;74000;1942;3658;26100
400;399;79800;182700;38945;39336;398900;3122;5697;81900;2124;3482;30200
400;399;79800;185900;41487;41880;430100;3106;5693;91700;2039;3565;25900
400;399;79800;167600;42100;42493;135000;3121;5725;86300;1924;3364;34700
400;399;79800;179600;40002;40394;97900;3121;5722;84600;2173;3663;29200
400;399;79800;180900;39654;40049;120800;3109;5690;86400;2266;3449;31700
400;399;79800;179200;39137;39534;99100;3104;5701;84200;1986;3277;31400
400;399;79800;181100;40079;40471;126200;3104;5695;88500;2305;3697;30600
400;399;79800;1004400;41007;41403;108700;3092;5680;85500;2002;3328;31400
400;399;79800;185600;39948;40342;86300;3121;5718;100900;2313;3565;26900
500;499;124750;284900;61760;62254;164000;4023;7432;109600;2965;4564;38400
500;499;124750;278600;65081;65575;184100;4018;7412;109300;2761;4354;37700
500;499;124750;282300;63721;64213;211000;4038;7414;116100;2925;4641;42500
500;499;124750;380400;65428;65925;179700;4017;7395;175200;2641;4479;50300
500;499;124750;266600;58872;59365;116800;4065;7459;87400;2675;4392;35400
500;499;124750;266100;65486;65973;199600;4031;7436;137100;2631;4539;37400
500;499;124750;351800;62473;62966;179400;4042;7436;114200;2441;4287;39400
500;499;124750;281400;63492;63981;184100;4021;7403;109000;2972;5254;38200
500;499;124750;281400;64077;64571;160400;4054;7448;101100;2548;5324;38100
500;499;124750;278300;62085;62569;159600;4062;7461;103700;2306;5605;36600
600;599;179700;404800;88488;89081;242600;5011;9219;131400;3290;5704;43600
600;599;179700;401400;87921;88512;247700;5042;9280;126400;3846;6698;44900
600;599;179700;421500;90062;90655;256300;5015;9249;129800;3222;6799;41800
600;599;179700;380200;91901;92496;191500;5010;9225;103800;4050;6936;66500
600;599;179700;415000;89449;90044;245600;5024;9271;133700;3321;5803;49400
600;599;179700;403700;87848;88439;236900;5011;9240;128000;3858;6142;51200
600;599;179700;399300;89390;89986;229800;5023;9257;152800;3219;5819;48200
600;599;179700;400800;87758;88351;262400;5017;9241;141900;2905;5703;49000
600;599;179700;404700;91361;91954;295100;5008;9231;134900;3633;5806;52100
600;599;179700;402000;87623;88216;236400;5046;9295;131900;3432;6532;50700
700;699;244650;543400;124789;125479;327900;6020;11094;160900;3648;6682;57900
700;699;244650;545800;121976;122668;362000;6013;11108;161900;4431;7608;62100
700;699;244650;548600;118850;119544;356600;6039;11115;162200;3541;6979;54500
700;699;244650;544300;121363;122054;306500;5998;11097;290500;4103;7068;48700
700;699;244650;597900;124961;125652;316900;6032;11154;302200;3981;6890;59900
700;699;244650;559700;123715;124406;302900;5996;11112;123200;3886;7501;62500
700;699;244650;594800;125539;126226;353100;5992;11107;283000;4022;6851;59600
700;699;244650;600400;124399;125090;277900;6000;11096;282000;3594;6813;53100
700;699;244650;579200;123938;124632;322800;6003;11098;190500;3831;7240;59700
700;699;244650;568700;119332;120028;312800;6023;11132;398000;4505;7752;62500
800;799;319600;755800;162495;163290;326600;7040;13033;233200;5222;8279;117000
800;799;319600;732700;160665;161458;365200;7044;13017;303600;4526;9026;63700
800;799;319600;743100;165269;166061;502900;6992;13004;277400;4262;8637;75800
800;799;319600;739400;157101;157890;391400;7064;13069;286600;4526;8417;65600
800;799;319600;731300;156421;157210;346300;7050;13007;292000;5508;8718;73600
800;799;319600;776400;160046;160838;416600;7053;13048;339000;4270;8357;59600
800;799;319600;724700;156463;157261;382100;7034;13011;357700;4364;8305;71800
800;799;319600;749900;162333;163126;290300;7024;13002;132900;4630;8110;58000
800;799;319600;685100;162165;162958;384800;7034;12998;258000;4091;8559;58700
800;799;319600;716600;152469;153266;354200;7054;13029;275400;5281;9028;74700
900;899;404550;918400;201752;202650;521900;8103;14995;194000;5627;10070;76800
900;899;404550;898400;204740;205629;499100;8045;14914;348800;5751;10061;79600
900;899;404550;894700;204620;205512;649800;8049;14915;206400;4990;9488;80500
900;899;404550;945500;189621;190514;534000;8080;14947;214000;6058;10331;78900
900;899;404550;895000;204267;205159;588100;8056;14928;215600;5795;10420;77900
900;899;404550;917300;206761;207657;549000;8080;14963;235900;4740;8801;74000
900;899;404550;848400;197966;198856;317100;8029;14915;124400;4236;9173;62800
900;899;404550;891100;198415;199304;347300;8050;14907;104200;5161;9134;58300
900;899;404550;847900;199037;199929;345800;8070;14957;107100;5198;9598;54400
