n;sel_swap;sel_comp;sel_time;ins_swap;ins_comp;ins_time;heap_swap;heap_comp;heap_time;quick_swap;quick_comp;quick_timemq_swap;mq_comp;mq_time
700;699;244650;565700;122548;123242;270500;6019;11111;203900;4293;7122;52800;4784;7397;63600
800;799;319600;729000;157931;158726;362000;7048;13056;352900;4054;9350;73300;4828;9020;70200
800;799;319600;717800;159782;160573;340600;7041;13010;322900;4856;8000;64400;4449;7818;73100
800;799;319600;738800;164313;165103;417100;7048;13038;318000;4736;8269;60300;4472;7727;69000
800;799;319600;727200;160360;161154;366200;7023;13021;350600;3910;7501;59800;4530;7532;67700
800;799;319600;716400;164358;165153;347200;7015;13028;317200;4420;8314;66300;4199;7798;70800
800;799;319600;730200;153610;154401;339700;7039;13008;211200;4877;7864;63800;4778;7748;69600
800;799;319600;699100;162408;163203;367700;7059;13030;169600;4129;7641;64800;4381;7589;71600
800;799;319600;746400;163525;164316;365600;7072;13036;182100;4484;7809;63700;4472;8006;73100
800;799;319600;701800;159337;160128;342300;7022;12996;191100;4575;7830;71600;4526;7990;72200
800;799;319600;701800;163507;164299;378200;7020;12997;199500;4358;7587;64800;4485;7630;70300
900;899;404550;869400;207445;208337;305200;8028;14923;153100;5050;9876;60300;5314;8847;66700
900;899;404550;874900;206497;207389;338900;8064;14937;172300;4468;10235;65400;5230;8889;79800
900;899;404550;852300;204375;205272;308200;8042;14901;151700;4827;9111;59800;5156;9061;72200
900;899;404550;909600;207363;208253;446000;8034;14921;249700;5085;9417;69100;5093;9006;81500
900;899;404550;883500;207962;208857;484500;8027;14917;214700;4745;8992;73000;5037;8925;85100
900;899;404550;890800;209095;209985;447100;7998;14863;210900;6129;10405;63000;5743;8859;80800
900;899;404550;842400;204583;205472;287000;8072;14969;125800;5037;9541;51600;5524;8960;58600
900;899;404550;858800;205654;206548;325600;8069;14930;104800;5573;10343;51900;4941;8725;54800
900;899;404550;877600;206423;207317;395600;8084;14952;146700;5765;10309;76400;4942;9589;75800
900;899;404550;841900;201466;202363;282800;8059;14935;104400;5562;9505;51500;5508;9541;59800
1000;999;499500;1043400;250648;251641;351000;9101;16895;124200;6482;10719;57100;5920;9802;63600
1000;999;499500;1039400;252125;253119;370000;9046;16799;131900;6685;10672;58200;5970;10095;69700
1000;999;499500;1034100;245620;246610;342700;9077;16833;118400;5675;11968;55300;6052;9912;61100
1000;999;499500;1035200;250674;251663;349600;9097;16862;116100;6142;10844;56800;5629;10150;59000
1000;999;499500;1092800;248682;249677;351800;9079;16854;117800;6523;11197;56400;5947;10257;60700
1000;999;499500;1033200;251720;252712;370600;9039;16806;117300;7042;11516;55500;5600;10519;65100
1000;999;499500;1027400;251219;252211;351000;9080;16864;119600;7351;11033;57200;6428;10861;59000
1000;999;499500;1045300;252287;253278;373300;9072;16844;125800;6103;11618;67400;6268;10012;61100
1000;999;499500;1033500;258752;259743;367700;9037;16811;117300;5576;10893;56000;6615;10905;60700
1000;999;499500;1042200;243851;244843;341900;9090;16844;117900;7454;12089;60400;6124;10271;60700
1100;1099;604450;1254800;303512;304605;421500;10133;18824;130200;7240;13372;63700;6875;12329;73200
1100;1099;604450;1247900;308350;309443;624000;10135;18853;135200;6106;11233;63200;6545;11065;83900
1100;1099;604450;1294900;298411;299499;420100;10136;18845;176400;6216;12186;86500;6371;12186;111800
1100;1099;604450;1248500;297554;298648;413500;10183;18877;132200;6686;12878;64000;6967;11656;68200
1100;1099;604450;1245900;305391;306482;425900;10170;18876;130600;6794;11941;63300;7238;12427;70900
1100;1099;604450;1252700;296582;297675;414900;10133;18844;130400;7222;11833;63300;7228;12248;72800
1100;1099;604450;1258200;304426;305518;422100;10159;18870;137200;6407;11842;62300;6483;11739;69400
1100;1099;604450;1263900;305640;306735;424900;10167;18850;130000;6481;11749;64400;6885;11328;66800
1100;1099;604450;1256000;300501;301598;428800;10196;18886;130600;7658;12710;64100;6313;11284;70900
1100;1099;604450;1255100;309895;310984;442000;10132;18825;131800;7315;13559;75300;6637;11386;68400
1200;1199;719400;1495700;358660;359855;494700;11221;20897;143000;8514;13557;71100;7041;12301;76500
1200;1199;719400;1488300;354257;355447;490800;11244;20903;176100;7463;13240;82900;7466;12627;86200
1200;1199;719400;1516000;368758;369952;510500;11253;20930;143100;6957;13981;69100;6669;12903;75100
1200;1199;719400;1489000;363045;364238;503300;11290;20979;143600;7696;14010;70000;7263;13138;96500
1200;1199;719400;1487000;351983;353176;485500;11276;20937;144000;7896;14208;84600;7358;12632;77300
1200;1199;719400;1483000;361932;363127;499100;11187;20827;144900;7334;13377;68600;6903;12638;75000
1200;1199;719400;1482100;364026;365218;511300;11219;20855;161800;7182;13820;69100;6569;12736;74000
1200;1199;719400;1483800;354560;355754;490600;11217;20865;143100;7348;12914;67500;6911;12435;77200
1200;1199;719400;1486600;364389;365583;503400;11228;20881;144000;8160;13938;69200;6759;12583;81200
1200;1199;719400;1483300;361266;362457;505800;11229;20873;147400;8191;14558;67500;8876;13758;76200
1300;1299;844350;1741500;423812;425109;584700;12309;22947;230500;8156;14194;74600;8308;15050;81600
1300;1299;844350;1756100;423751;425040;584200;12332;22945;161300;9197;14506;77700;8542;14026;84100
1300;1299;844350;1750900;425009;426299;586300;12376;23001;152200;8906;14532;75600;8854;14568;86200
1300;1299;844350;1746200;415999;417293;574400;12356;22959;152600;7982;15009;75500;8000;14231;82600
1300;1299;844350;1745800;431201;432488;598700;12350;22995;153300;9266;14985;77100;8561;13719;81900
1300;1299;844350;1752300;420535;421824;591400;12320;22977;212300;8563;15540;93200;8751;14122;81700
1300;1299;844350;1753200;430919;432211;596000;12360;22973;163200;7405;14601;75000;8924;13998;82700
1300;1299;844350;1750100;417390;418679;581000;12351;22970;150400;9010;14800;76100;8752;14240;97100
1300;1299;844350;1746000;425752;427047;590200;12345;22953;152300;7930;13906;82500;7478;13551;100900
1300;1299;844350;1756100;425000;426294;598200;12341;22973;152600;7424;14429;74000;7792;14204;82400
1400;1399;979300;2023600;490458;491850;673200;13407;25006;164700;7667;16146;77700;9471;15698;92100
1400;1399;979300;2029800;487875;489271;672700;13428;25040;171100;7287;16076;78500;8942;15690;90200
1400;1399;979300;2031300;493597;494992;679000;13392;25016;163400;8358;15364;79500;8859;15827;89100
1400;1399;979300;2023500;499772;501165;697800;13407;25047;169900;9566;16312;79500;8192;15085;89700
1400;1399;979300;2025900;484908;486301;675200;13415;24993;165200;8588;16179;87100;8825;16089;90300
1400;1399;979300;2093400;479896;481293;660500;13469;25104;167300;8945;16528;81800;8714;15632;88600
1400;1399;979300;2042200;484145;485535;667900;13446;25013;164700;7944;14952;78800;9289;15183;90100
1400;1399;979300;2051900;483693;485085;678800;13432;25025;167800;8528;16211;80400;8138;15451;100500
1400;1399;979300;2154500;488232;489621;697800;13429;25026;176800;11964;19768;139500;8256;15011;92600
1400;1399;979300;2117700;485621;487016;862900;13402;25014;180100;9502;16169;94600;8733;14535;96700
1500;1499;1124250;2327300;562592;564087;778000;14535;27119;177400;11107;18588;86200;10231;16379;97100
1500;1499;1124250;2328500;537320;538810;756900;14585;27120;177400;10773;20244;89400;9388;15692;97900
1500;1499;1124250;2398100;567284;568776;779300;14527;27123;178900;9866;17184;87900;10596;16744;97200
1500;1499;1124250;2404900;562407;563899;823500;14560;27122;189100;8613;16437;96100;8641;16104;105400
1500;1499;1124250;2377500;551632;553126;782500;14533;27096;177700;9600;16743;86800;9233;16196;102200
1500;1499;1124250;2355400;550737;552230;808900;14554;27122;177100;10599;18054;90100;10850;17793;96100
1500;1499;1124250;2353700;582575;584066;848400;14554;27163;181600;10020;18566;90000;9662;16907;94500
1500;1499;1124250;2346800;553869;555366;763200;14536;27136;192500;10283;17359;86700;8441;16250;98700
